Timestamp(ms),RSSI(dBm)
113,-71
113,-71
113,-71
481,-64
482,-64
484,-64
1337,-66
1338,-66
1338,-66
1516,-62
1525,-61
1525,-61
1701,-69
1702,-69
1702,-69
1888,-73
1899,-73
2069,-68
2069,-68
2069,-68
2437,-72
2464,-72
2804,-63
2819,-62
2820,-62
3180,-75
3181,-75
3182,-75
3360,-65
3361,-65
3362,-65
3729,-65
3737,-66
3738,-66
4487,-65
4488,-65
4488,-65
4677,-65
4677,-65
4677,-65
5619,-64
5619,-64
5620,-64
6179,-65
6179,-65
6179,-65
6361,-63
6361,-63
6362,-63
6730,-79
6731,-79
6731,-79
7480,-63
7481,-63
7481,-63
7663,-63
7663,-63
7665,-63
8041,-77
8042,-78
8042,-78
8070,-64
8071,-63
8072,-63
8109,-66
8110,-65
8110,-65
8148,-77
8149,-78
8152,-78
8190,-64
8191,-65
8192,-65
8220,-64
8221,-64
8221,-64
8255,-63
8255,-63
8255,-63
8330,-77
8332,-76
8332,-76
8365,-64
8366,-64
8367,-64
8438,-65
8440,-65
8440,-65
8467,-65
8467,-65
8468,-65
8578,-64
8578,-63
8579,-63
8620,-76
8623,-76
8623,-76
8771,-78
8772,-78
8772,-78
8878,-65
8879,-65
8913,-64
8914,-63
8914,-63
9019,-78
9020,-78
9020,-78
9251,-77
9251,-77
9252,-77
9315,-75
9328,-76
9328,-76
9389,-75
9389,-76
9390,-76
9427,-66
9429,-64
9429,-64
9567,-75
9577,-75
9578,-75
9634,-64
9636,-64
9636,-64
9664,-75
9709,-75
9730,-75
9759,-75
9827,-66
9828,-64
9828,-64
9865,-64
9869,-62
9869,-62
10493,-67
10507,-67
10668,-69
10673,-69
10673,-69
11380,-69
11385,-70
11386,-70
11572,-66
11573,-66
11573,-66
12327,-68
12328,-66
12328,-66
12512,-68
12513,-66
12513,-66
13078,-65
13079,-66
13079,-66
14039,-69
14064,-69
14221,-68
14232,-68
14412,-71
14413,-71
14413,-71
14604,-71
14604,-71
14605,-71
15031,-64
15031,-64
15032,-64
15411,-73
15412,-73
15413,-73
15787,-64
15789,-64
15789,-64
15973,-68
15974,-68
15974,-68
16358,-73
16359,-73
16359,-73
16726,-66
16729,-64
16730,-64
16909,-65
16909,-65
16910,-65
18046,-65
18046,-65
18047,-65
18419,-69
18420,-69
18420,-69
18610,-70
18611,-72
18611,-72
19561,-68
19562,-67
19562,-67
21078,-68
21079,-67
21079,-67
21667,-82
21668,-81
21668,-81
22275,-73
22281,-73
22672,-71
22672,-71
22673,-71
22857,-68
22858,-67
22859,-67
23224,-75
23232,-76
23232,-76
23415,-66
23416,-66
23416,-66
24179,-70
24180,-70
24180,-70
24370,-71
24386,-71
24386,-71
24778,-71
24819,-71
25521,-67
25521,-67
25522,-67
26274,-71
26274,-71
26274,-71
27172,-70
27176,-70
27177,-70
27735,-68
27790,-68
28682,-71
28682,-72
28684,-72
28863,-68
28863,-68
28864,-68
29616,-67
29617,-67
30186,-79
30188,-79
30189,-79
30958,-69
30959,-69
30960,-69
31337,-66
31340,-66
31340,-66
31519,-72
31536,-71
31536,-71
32278,-76
32279,-76
32279,-76
32836,-81
32912,-81
33017,-67
33029,-66
33029,-66
33780,-69
33783,-69
33785,-69
33962,-67
33967,-68
33968,-68
34332,-66
34337,-67
34337,-67
34525,-64
34526,-66
34526,-66
34714,-64
34719,-64
34720,-64
35876,-85
35877,-85
36277,-69
36294,-68
36294,-68
36468,-84
36469,-85
36469,-85
36877,-68
36887,-68
36888,-68
37068,-85
37069,-84
37069,-84
37470,-66
37471,-64
37471,-64
37659,-64
37671,-64
38034,-79
38035,-79
38222,-75
38223,-78
38223,-78
38978,-70
39012,-70
39165,-65
39166,-69
39166,-69
39528,-66
39531,-65
39531,-65
39912,-87
39912,-87
40472,-84
40472,-85
40473,-85
40663,-75
40664,-75
40665,-75
41222,-73
41223,-73
41223,-73
41435,-71
41436,-71
41436,-71
41618,-66
41619,-66
41620,-66
42218,-75
42273,-75
42637,-72
42683,-72
42819,-74
42835,-74
43243,-74
43243,-74
43244,-74
43413,-74
43419,-75
43419,-75
43830,-71
43832,-72
43833,-72
44778,-76
44779,-76
45508,-72
45509,-71
45509,-71
45715,-71
45817,-71
46082,-70
46086,-70
46086,-70
46828,-68
46829,-67
46830,-67
47013,-69
47034,-71
47035,-71
47814,-70
47826,-70
48187,-71
48188,-72
48188,-72
48375,-72
48376,-72
48559,-72
48560,-72
48560,-72
48926,-69
48927,-69
